Name,variable,m/z
12-hydroxy-jasmonic acid,M.plus.H,389.180059
"2,3-dihydroxyindole",M.plus.H,150.054405
24-epicastasterone,M.plus.H,465.356901
28-norcastasterone,M.plus.H,451.341251
2-amino-3-carboxymuconic acid-semialdehyde,M.plus.H,186.039149
2-aminomuconate,M.plus.H,158.044234
2-Aminomuconic semialdehyde,M.plus.H,142.04932
2-aminophenol,M.plus.H,110.05949
2-formamino-benzoylacetate,M.plus.H,208.059884
2-formylamino-benzaldehyde,M.plus.H,122.05949
2-hydroxymelatonin,M.plus.H,251.138469
2-methylthio-cis-zeatin,M.plus.H,266.106458
2-methylthio-cis-zeatin riboside,M.plus.H,398.148717
2-methylthio-isopentenyladenine,M.plus.H,250.111543
2-methylthio-isopentenyladenosine,M.plus.H,382.153802
2-Oxoadipic acid,M.plus.H,161.0439
2-oxoindole-3-acetate,M.plus.H,192.06497
2-oxo-indole-3-acetic acid,M.plus.H,192.06497
3-Hydroxyanthranilic acid,M.plus.H,154.04932
3-hydroxy-butanoyl-CoA,M.plus.H,854.158716
3-hydroxykynurenine,M.plus.H,225.086433
3-indole glycol-aldehyde,M.plus.H,176.070055
3-methoxy-anthranilate,M.plus.H,168.06497
3-methyl-dioxy indole,M.plus.H,164.070055
3-methyl-indolepyruvate,M.plus.H,218.08062
3-oxo-2-(2-(Z)-pentenyl)cyclopentane-1-butyric acid,M.plus.H,239.163621
3-oxo-2-(2-(Z)-pentenyl)cyclopentane-1-hexanoic acid,M.plus.H,267.194921
"4-(2-amino-5-hydroxyphenyl)-2,4-dioxobutanoate",M.plus.H,224.054799
"4,6-dihydroxyquinoline",M.plus.H,162.054405
"4,8-dihydroxyquinoline",M.plus.H,162.054405
4-hydroxymelatonin,M.plus.H,249.122819
"5-(2'-carboxyethyl)-4,6-dihydroxypicolinate",M.plus.H,228.049714
"5-(2'-formylethyl)-4,6-dihydroxypicolinate",M.plus.H,212.054799
"5-(3'-carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate",M.plus.H,254.028978
"5-(3'-carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate",M.plus.H,256.044628
5-deoxystrigol,M.plus.H,331.15345
5-hydroxy tryptophan,M.plus.H,221.091519
5-hydroxyindole-acetaldehyde,M.plus.H,176.070055
